,year,state_abbr,state_name,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,caveats,all_crimes
150,1981,WI,Wisconsin,4739000,8904,161,745.0,,3249,4749,216997,50813,155892,10292,,451057
151,1981,WV,West Virginia,1951000,3410,118,289.0,,979,2024,47681,15122,28884,3675,,101893
152,1981,WY,Wyoming,492000,2116,27,174.0,,206,1709,23133,4728,16972,1433,,50324
153,1982,,,231664458,1322390,21010,78770.0,,553130,669480,11652000,3447100,7142500,1062400,,25870010
154,1982,AK,Alaska,438000,2732,81,374.0,,586,1691,24479,5204,16672,2603,,54048
155,1982,AL,Alabama,3943000,17653,417,1026.0,,4417,11793,165048,49531,104740,10777,,364376
156,1982,AR,Arkansas,2291000,7438,187,622.0,,1805,4824,81259,24547,52450,4262,,176772
157,1982,AZ,Arizona,2860000,14785,236,1100.0,,4537,8912,189161,53861,124723,10577,,406792
158,1982,CA,California,24724000,201429,2779,12529.0,,91988,94133,1599827,499466,935831,164530,,3589983
159,1982,CO,Colorado,3045000,15354,182,1356.0,,4587,9229,200230,53260,134873,12097,,429812
160,1982,CT,Connecticut,3153000,12597,164,692.0,,6574,5167,158532,44481,96640,17411,,341566
161,1982,DC,District of Columbia,631000,13397,194,421.0,,9137,3645,52295,14774,33435,4086,,130963
162,1982,DE,Delaware,602000,3370,32,186.0,,737,2415,35067,8698,23891,2478,,76688
163,1982,FL,Florida,10416000,93411,1409,5587.0,,31002,55413,684166,211932,427462,44772,,1549567
164,1982,GA,Georgia,5639000,26963,713,2242.0,,8716,15292,267097,84469,165049,17579,,585878
165,1982,HI,Hawaii,994000,2542,31,342.0,,1560,609,62906,16477,42248,4181,,130554
166,1982,IA,Iowa,2905000,5018,67,362.0,,1051,3538,115148,27535,82568,5045,,239970
167,1982,ID,Idaho,965000,2501,24,160.0,,292,2025,36902,9958,25256,1688,,78646
168,1982,IL,Illinois,11448000,88644,1005,3424.0,,39700,44515,579954,157273,354106,68575,,1333772
169,1982,IN,Indiana,5471000,16444,355,1521.0,,5966,8602,225894,59569,148454,17871,,483155
170,1982,KS,Kansas,2408000,8088,138,596.0,,2095,5259,111156,32382,73416,5358,,237892
171,1982,KY,Kentucky,3667000,11550,355,734.0,,3568,6893,119304,37736,73020,8548,,260974
172,1982,LA,Louisiana,4362000,29185,698,1740.0,,9275,17472,202489,62151,125701,14637,,461608
173,1982,MA,Massachusetts,5781000,33031,219,1464.0,,12359,18989,285140,82212,146933,55995,,634878
174,1982,MD,Maryland,4265000,36254,432,1596.0,,15377,18849,220174,60547,142903,16724,,511260
175,1982,ME,Maine,1133000,1847,24,152.0,,345,1326,41884,11862,27863,2159,,87310
176,1982,MI,Michigan,9109000,59806,827,4246.0,,24699,30034,558195,165155,330031,63009,,1231756
