year,state_abbr,state_name,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,caveats,all_crimes
1983,FL,Florida,10680000,88292,1199,5170.0,,28126,53797,635934.0,191902.0,400796,43236,,971124.0
1983,GA,Georgia,5732000,26179,483,2021.0,,8267,15408,232062.0,72614.0,143398,16050,,346746.0
1983,HI,Hawaii,1023000,2579,57,301.0,,1330,891,56853.0,13636.0,38920,4297,,74016.0
1983,IA,Iowa,2905000,5262,68,365.0,,1192,3637,108587.0,26599.0,77402,4586,,144153.0
1983,ID,Idaho,989000,2361,35,181.0,,270,1875,35872.0,9206.0,24979,1687,,49349.0
1983,IL,Illinois,11486000,83629,1112,3619.0,,36625,42273,552857.0,148445.0,339061,65351,,828316.0
1983,IN,Indiana,5479000,15547,286,1509.0,,5474,8278,210725.0,54147.0,138929,17649,,288983.0
1983,KS,Kansas,2425000,7919,137,627.0,,2038,5117,101928.0,28318.0,68735,4875,,143419.0
1983,KY,Kentucky,3714000,11967,364,817.0,,3236,7550,115602.0,36286.0,71322,7994,,171769.0
1983,LA,Louisiana,4438000,28444,629,1770.0,,8433,17612,194636.0,57359.0,123492,13785,,298680.0
1983,MA,Massachusetts,5767000,33264,203,1495.0,,12023,19543,255707.0,72291.0,133883,49533,,381008.0
1983,MD,Maryland,4304000,34736,367,1412.0,,14950,18007,195828.0,52697.0,127443,15688,,301635.0
1983,ME,Maine,1146000,1829,24,193.0,,311,1301,40357.0,11415.0,27022,1920,,54926.0
1983,MI,Michigan,9069000,64993,910,5085.0,,25873,33125,522450.0,153438.0,302118,66894,,774916.0
1983,MN,Minnesota,4144000,7909,69,927.0,,3298,3615,159268.0,44571.0,106034,8663,,215432.0
1983,MO,Missouri,4970000,23718,403,1330.0,,8346,13639,201418.0,60496.0,125140,15782,,299674.0
1983,MT,Montana,817000,1737,30,162.0,,192,1353,36208.0,7420.0,26918,1870,,46748.0
1983,NC,North Carolina,6082000,24911,490,1332.0,,4840,18249,229540.0,72348.0,147068,10124,,345538.0
1983,ND,North Dakota,680000,365,14,85.0,,53,213,17828.0,2967.0,13983,878,,21387.0
1983,NE,Nebraska,1597000,3477,42,339.0,,796,2300,57012.0,12408.0,42026,2578,,75239.0
1983,NH,New Hampshire,959000,1200,19,187.0,,231,763,30987.0,7882.0,21359,1746,,40851.0
1983,NJ,New Jersey,7468000,41304,399,2266.0,,20086,18553,344296.0,92391.0,206778,45127,,496943.0
1983,NM,New Mexico,1399000,9608,124,671.0,,1595,7218,79175.0,21813.0,53077,4285,,117938.0
1983,NV,Nevada,891000,5838,114,457.0,,2737,2530,53871.0,17922.0,31749,4200,,80275.0
1983,NY,New York,17667000,161489,1958,5296.0,,94783,59452,881322.0,249115.0,504346,127861,,1353336.0
1983,OH,Ohio,10746000,42759,600,3387.0,,17132,21640,441362.0,124179.0,280156,37027,,630540.0
1983,OK,Oklahoma,3298000,13964,249,1247.0,,4245,8223,148599.0,49782.0,84085,14732,,220817.0
1983,OR,Oregon,2662000,12986,109,1078.0,,4533,7266,153412.0,46472.0,98880,8060,,220245.0
1983,PA,Pennsylvania,11895000,40782,583,2449.0,,20501,17249,339321.0,96425.0,205408,37488,,494360.0
1983,RI,Rhode Island,955000,3392,26,160.0,,1078,2128,44410.0,12722.0,25463,6225,,62678.0
1983,SC,South Carolina,3264000,20133,321,1144.0,,3425,15243,135590.0,42263.0,85501,7826,,213550.0
1983,SD,South Dakota,700000,840,15,119.0,,111,595,16993.0,3820.0,12453,720,,22263.0
1983,TN,Tennessee,4685000,18836,410,1682.0,,8094,8650,169110.0,56498.0,97785,14827,,253504.0
1983,TX,Texas,15724000,80546,2239,6333.0,,29769,42205,848312.0,262198.0,503582,82532,,1235500.0
1983,UT,Utah,1619000,4144,56,403.0,,1041,2644,78715.0,16446.0,58453,3816,,102005.0
1983,VA,Virginia,5550000,16236,387,1370.0,,6132,8347,203632.0,51055.0,142714,9863,,279657.0
1983,VT,Vermont,525000,696,19,214.0,,146,317,21001.0,5724.0,14296,981,,27757.0
1983,WA,Washington,4300000,15986,212,1923.0,,4533,9318,245357.0,70526.0,163953,10878,,341399.0
1983,WI,Wisconsin,4751000,9070,131,861.0,,3415,4663,193118.0,41980.0,141434,9704,,248962.0
